track_id	track_name
407886	月牙湾
462188	情歌
536637	我会好好过
613897	La La Land
658498	东方之珠
669564	最好的我
701399	你是我的玫瑰花
742072	你到底爱不爱我
809263	FEEL YOU MAN
809338	我的秘密
1045012	Walk Away
1137340	致爱丽丝
1191809	朋友的酒
1213357	初恋情人
1229028	동경소녀 (东京小女)
1266254	得到你的人却得不到你的心
1269729	一生所爱
1336011	暴风一族
1384045	午夜DJ
1516844	【昆曲】风筝误 惊丑 锦地花
1614117	Angel
1664515	大黄老鼠皮卡丘
2468712	Love Is Easy
2477231	大禹治水
2697084	读你
2706277	往事只能回味
2791955	你若成风
3592426	坚强的信仰
4705234	真英雄
4775795	一万个舍不得
4786263	爱是你给我的毒
4801021	爱似流星
4829638	水手
4830342	十年
4840593	Heartbeat
4873230	春歌
4900010	如果这都不算爱
4907931	战争
4908888	采茶姐妹上茶山
4909635	单身情歌
4924175	惜别的海岸
4979558	Affention (ED Theme Arrange)
5016168	李白
5020469	被驯服的象
5061208	我可以抱你吗 (Live)
5062434	你曾是少年 (2018快乐大本营现场)
5125985	爱的初体验 (Live)
5162654	爱与诚
5217117	备胎
7147289	愿做菩萨那朵莲
7214486	新年快乐
9068445	Even My Dad Does Sometimes
9078369	夜色
9079340	草原妹妹
9081908	爱上你我永不后悔
101803907	江山
101809566	Immortals
102206145	Hello
102636073	你不是我
102783420	小芳 (Live)
102984718	Didn't Know You
103187349	一生所爱
104111308	傻孩子
104275754	狮子座 (Live)
104354477	"꽃	 그대 (花	你)"
104753978	爱江山更爱美人
104774382	不老的情歌
104854884	一次就好
104947235	社会摇之低音重鼓
105055346	Visions
105161052	别找我麻烦 (Live)
105380435	I Love Poland
105411941	街道商场公共场所禁播
105578277	我好想你 (Live)
105670956	留什么给你
105795665	悟空 (Live)
105875889	또르르 (轱辘轱辘)
106061290	We Wanna Party (Extended Mix)
106163986	This Is What You Came For
107346174	机器铃 砍菜刀
107559496	传奇
107587533	HereWeAre
107668922	This
107833864	天黑黑 (Live)
108357921	下雪的季节
108817283	爱情
